vehicle_type,edge_fro(u),edge_to(v),observed_count
truck,594810758,594810582,0.0
truck,594811144,1112039283,0.5
truck,594811144,1515748078,0.0
truck,594811262,1942291960,0.0
truck,5995805677,8206064923,0.5
truck,5995805881,5995805677,0.0
truck,6026198745,5299061043,0.0
truck,6026198761,6026198745,0.0
truck,6240071024,1887964363,1.0
truck,6533196277,2879195259,0.0
truck,6533234861,594810758,0.0
truck,6562195264,1888012638,1.5
truck,6625037060,5028054894,2.0
truck,6625037060,6073647793,0.0
truck,6658271344,1948626118,0.0
truck,6695185573,9038173103,1.0
truck,6735356641,2628861504,1.0
truck,6735356641,4336638117,1.0
truck,6852411673,1936887997,0.0
truck,7002649406,594810991,0.0
truck,7026425344,7026425345,0.0
truck,7195542379,2168717858,0.0
truck,7874298255,1936887991,0.0
truck,7874298255,4818810106,1.5
truck,8086970950,8657455733,0.0
truck,8212253860,8086970950,0.0
truck,9004853901,247812556,1.0
truck,9038173107,2168717813,1.5
truck,9038173107,7195542382,1.5
truck,9060604387,1939558938,0.0
truck,9067078743,7874298255,0.0
truck,9067412347,1939558938,0.0
truck,9133785911,7026425345,0.5
truck,9210167479,12099657777,0.5
truck,9769366872,1936845009,0.0
motorcycle,10143282735,2492766000,122.0
motorcycle,10160788286,1523899606,2137.5
motorcycle,10293199569,10293199566,7.0
motorcycle,10293199569,1449239318,521.0
motorcycle,10689864529,12143930233,642.5
motorcycle,10855460010,10855460017,0.0
motorcycle,1112039283,1448261053,5059.0
motorcycle,11245117419,13324864160,895.0
motorcycle,12099657777,9210167479,321.5
motorcycle,12214526358,8212253860,175.5
motorcycle,12328602709,2492766000,0.5
motorcycle,1420845476,1846250241,2713.5
motorcycle,1420845476,2992379493,2593.0
motorcycle,1420845489,1448234534,2045.0
motorcycle,1420845489,1516025646,48.0
motorcycle,1432319785,1888045626,288.0
motorcycle,1448261053,1942292058,2949.0
motorcycle,1448263566,1942292074,3121.5
motorcycle,1449241391,1888279429,46.0
motorcycle,1449241533,1867311193,2942.0
motorcycle,1449241548,1449241533,289.5
motorcycle,1449241548,1867326933,1026.0
motorcycle,1514820618,594810504,741.0
motorcycle,1515997023,1515996978,431.5
motorcycle,1516025594,594810758,198.0
motorcycle,1516025641,1448234534,484.0
motorcycle,1518007286,1514820631,1409.5
motorcycle,1522474782,1811547083,168.0
motorcycle,1523899606,10160788282,95.5
motorcycle,1684887332,1938088901,1728.5
motorcycle,1791209584,1793358263,1402.0
motorcycle,1791209584,1846784930,321.5
motorcycle,1811547083,1522474782,119.0
motorcycle,1816987769,1816987772,154.5
motorcycle,1832026502,1832026443,673.5
motorcycle,1832146663,1942810207,488.5
motorcycle,1844682741,1844682733,4232.5
motorcycle,1844682741,2392981216,1785.0
motorcycle,1844682767,1791209551,2390.0
motorcycle,1846242592,1846242567,2712.0
motorcycle,1846250221,2392981213,2147.0
motorcycle,1846250221,5299061597,476.0
motorcycle,1888045626,1112039279,2552.0
motorcycle,1888279429,1540314462,479.0
motorcycle,1888279429,3355823914,980.5
motorcycle,1936845009,518264005,2962.0
motorcycle,1936863901,1449241550,1319.0
motorcycle,1936887997,6852411673,2434.5
motorcycle,1936910344,4064678350,2203.0
motorcycle,1939558938,4835445199,913.5
motorcycle,1941289233,7213836956,2415.5
motorcycle,1941289254,6735356641,2398.0
motorcycle,1941536948,12040037094,121.0
motorcycle,1942291748,518463863,0.0
motorcycle,1942291904,1867311196,2068.0
motorcycle,1942291927,1867311196,318.5
motorcycle,1942291995,594811248,954.5
motorcycle,1942292055,1448260320,501.5
motorcycle,1942292055,1942292051,326.5
motorcycle,1942292074,1942292058,2828.5
motorcycle,1942400763,5104353668,54.5
motorcycle,1942467236,5108134366,686.0
motorcycle,1942584678,2169024001,1711.0
motorcycle,1944086454,1686120959,255.0
motorcycle,1944086454,9024344350,215.5
motorcycle,1944086459,1944086454,24.5
motorcycle,1948626118,2026614833,32.0
motorcycle,1948626118,5425504237,40.0
motorcycle,2026614923,594810991,418.5
motorcycle,2027471525,518455371,14.0
motorcycle,2027471666,1791209584,27.5
motorcycle,2027517119,5455610066,9.0
motorcycle,2157626049,1791209584,49.0
motorcycle,2169023988,2169023991,3908.0
motorcycle,2169023991,2169023988,1804.5
motorcycle,247812506,3005526082,785.0
motorcycle,247812555,247812556,12.0
motorcycle,247812556,247812555,0.0
motorcycle,247812556,3120748687,2410.5
motorcycle,2492766000,2168718339,47.0
motorcycle,2517670278,594811098,31.0
motorcycle,2555569506,2629540340,2711.5
motorcycle,2555569529,9038173103,2937.5
motorcycle,2628726614,2628726630,138.5
motorcycle,2628726614,5057120321,2295.0
motorcycle,2792179856,1936863901,1789.5
motorcycle,2840210327,3118584064,2328.5
motorcycle,2879195259,6533196277,6120.0
motorcycle,2943809934,11245117419,641.0
motorcycle,2992379493,1420845489,697.5
motorcycle,3005526057,5455610066,0.0
motorcycle,3016309075,2027471666,3695.0
motorcycle,3100109929,1515996978,891.5
motorcycle,3109980755,4835445199,1286.5
motorcycle,3118584064,2840210327,1024.0
motorcycle,3120748687,3005526082,2208.5
motorcycle,3296513997,3296513987,2006.0
motorcycle,3296513997,594811016,918.5
motorcycle,3355823817,518263501,0.0
motorcycle,3355824096,3355824094,4486.5
motorcycle,3376575517,1523899606,616.5
motorcycle,3923359389,5425504234,491.5
motorcycle,4051774595,518463863,188.5
motorcycle,4056761696,594810580,1949.0
motorcycle,4064678348,4064678350,2784.5
motorcycle,4075136674,1112039283,1547.0
motorcycle,4835445199,2185571653,57.5
motorcycle,4835465664,3923359389,306.0
motorcycle,4835579428,1112039402,3336.0
motorcycle,4835601260,12212445468,2612.0
motorcycle,4837150620,594811098,11.0
motorcycle,5107928522,4680466149,4708.0
motorcycle,5108134366,1867311223,1797.5
motorcycle,5113848563,518263501,0.0
motorcycle,5117524805,1449241548,893.5
motorcycle,5173211471,5953028842,495.5
motorcycle,518263501,1846185769,0.0
motorcycle,518263546,518263788,1913.0
motorcycle,518263788,4835579428,14819.0
motorcycle,518264005,1936845018,2547.5
motorcycle,518264005,1942810209,1530.0
motorcycle,518455371,1846784987,26.0
motorcycle,518455371,7026425344,142.5
motorcycle,518463863,2917006396,31.5
motorcycle,518464523,1420845479,3525.5
motorcycle,5295497027,5995805805,480.0
motorcycle,5295497334,4835553708,2037.5
motorcycle,5295497610,12533613033,2887.5
motorcycle,5455610066,3005526065,7.5
motorcycle,5548010396,10855460017,565.0
motorcycle,5841831224,3355824096,391.5
motorcycle,594810456,1514820631,242.0
motorcycle,594810580,594810750,1001.5
motorcycle,594810758,594810582,3500.5
motorcycle,594811144,1112039283,3873.5
motorcycle,594811144,1515748078,606.0
motorcycle,594811262,1942291960,929.5
motorcycle,5995805677,8206064923,375.5
motorcycle,5995805881,5995805677,855.0
motorcycle,6026198745,5299061043,3.5
motorcycle,6026198761,6026198745,0.0
motorcycle,6240071024,1887964363,202.0
motorcycle,6533196277,2879195259,2274.5
motorcycle,6533234861,594810758,1180.0
motorcycle,6562195264,1888012638,6058.5
motorcycle,6625037060,5028054894,3871.0
motorcycle,6625037060,6073647793,419.5
motorcycle,6658271344,1948626118,8.0
motorcycle,6695185573,9038173103,1393.0
motorcycle,6735356641,2628861504,881.5
motorcycle,6735356641,4336638117,949.0
motorcycle,6852411673,1936887997,172.0
motorcycle,7002649406,594810991,303.0
motorcycle,7026425344,7026425345,85.5
motorcycle,7195542379,2168717858,418.5
motorcycle,7874298255,1936887991,27.0
motorcycle,7874298255,4818810106,155.5
motorcycle,8086970950,8657455733,524.0
motorcycle,8212253860,8086970950,715.5
motorcycle,9004853901,247812556,1071.0
motorcycle,9038173107,2168717813,1207.5
motorcycle,9038173107,7195542382,4138.0
motorcycle,9060604387,1939558938,671.5
motorcycle,9067078743,7874298255,34.0
motorcycle,9067412347,1939558938,632.0
motorcycle,9133785911,7026425345,679.0
motorcycle,9210167479,12099657777,595.5
motorcycle,9769366872,1936845009,1577.5
